"","HISTO.CASETTE.NO","sex","cat","pco2_h_l","treatment","tank_id","temp_deg_c"
"301","20L01","F",2,"l","static",34,"20"
"302","20L02","M",3,"l","static",34,"20"
"303","20L03","M",4,"l","static",34,"20"
"304","20L04","F",1,"l","static",34,"20"
"305","20L05","F",1,"l","static",34,"20"
"306","20L06","M",3,"l","static",34,"20"
"307","20L07","M",4,"l","static",34,"20"
"308","20L08","F",3,"l","static",34,"20"
"309","20L09","F",1,"l","static",34,"20"
"310","20L10","F",4,"l","static",34,"20"
"311","20L11","F",3,"l","static",34,"20"
"312","20L12","F",2,"l","static",34,"20"
"313","20L13","F",1,"l","static",34,"20"
"314","20L14","M",4,"l","static",34,"20"
"315","20L15","F",1,"l","static",9,"20"
"316","20L16","F",1,"l","static",9,"20"
"317","20L17","M",4,"l","static",9,"20"
"318","20L18","M",4,"l","static",9,"20"
"319","20L19","M",4,"l","static",9,"20"
"320","20L20","M",4,"l","static",9,"20"
"321","20L21","M",4,"l","static",9,"20"
"322","20L22","M",4,"l","static",9,"20"
"323","20L23","F",1,"l","static",9,"20"
"324","20L24","M",4,"l","static",9,"20"
"325","20L25","F",1,"l","static",9,"20"
"326","20L26","M",4,"l","static",9,"20"
"327","20L27","F",4,"l","static",34,"20"
"328","21","F",4,"l","La Nina",33,"18-14"
"329","22","F",2,"l","La Nina",33,"18-14"
"330","23","F",4,"l","La Nina",33,"18-14"
"331","24","F",4,"l","La Nina",33,"18-14"
"332","25","M",4,"l","El Nino",19,"21-18"
"333","28","F",4,"l","La Nina",33,"18-14"
"334","29","M",4,"l","La Nina",33,"18-14"
"335","3","M",3,"l","El Nino",19,"21-18"
"336","30","F",3,"l","El Nino",37,"21-18"
"337","31","M",4,"l","La Nina",5,"18-14"
"338","32","M",3,"l","La Nina",5,"18-14"
"339","33","M",4,"l","La Nina",5,"18-14"
"340","34","F",4,"l","La Nina",5,"18-14"
"341","35","M",4,"l","La Nina",33,"18-14"
"342","36","M",4,"l","La Nina",5,"18-14"
"343","37","F",2,"l","La Nina",5,"18-14"
"344","38","M",4,"l","La Nina",5,"18-14"
"345","39","F",3,"l","El Nino",37,"21-18"
